status,bed,bath,acre_lot,city,state,zip_code,house_size,price
for_sale,3.0,1.0,0.11,New Castle,Delaware,19720.0,1275.0,68900.0
for_sale,4.0,2.0,0.17,New Castle,Delaware,19720.0,2072.0,199900.0
for_sale,5.0,2.4875072723686458,0.05,Wilmington,Delaware,19805.0,2175.0,195000.0
for_sale,6.0,2.0,0.07,Wilmington,Delaware,19801.0,2525.0,85000.0
for_sale,3.0,2.4875072723686458,0.03,Wilmington,Delaware,19802.0,2178.735693653475,70000.0
for_sale,3.0,2.0,0.4,Bear,Delaware,19701.0,1975.0,150000.0
for_sale,2.0,1.0,0.1,New Castle,Delaware,19720.0,500.0,121000.0
for_sale,2.0,2.0,0.05,Wilmington,Delaware,19805.0,1680.0,169000.0
for_sale,3.0,2.0,0.03,Wilmington,Delaware,19801.0,3034.0,119900.0
for_sale,2.0,2.0,32.156833929788604,Wilmington,Delaware,19801.0,2178.735693653475,93000.0
for_sale,3.0,2.4875072723686458,0.14,Wilmington,Delaware,19805.0,2178.735693653475,50000.0
for_sale,4.0,2.0,0.04,Wilmington,Delaware,19802.0,1800.0,110000.0
for_sale,3.0,1.0,0.15,New Castle,Delaware,19720.0,1375.0,99900.0
for_sale,3.0,3.0,0.34,New Castle,Delaware,19720.0,2480.0,355000.0
for_sale,4.0,1.0,0.03,Wilmington,Delaware,19805.0,1600.0,130000.0
for_sale,3.0,2.0,0.05,Wilmington,Delaware,19802.0,1375.0,65000.0
for_sale,4.0,2.0,0.22,New Castle,Delaware,19720.0,1600.0,175000.0
for_sale,2.0,2.0,0.02,Wilmington,Delaware,19805.0,2000.0,220000.0
for_sale,3.0,2.4875072723686458,0.07,Wilmington,Delaware,19805.0,2178.735693653475,55000.0
for_sale,3.0,2.0,0.03,Wilmington,Delaware,19805.0,1200.0,194999.0
for_sale,2.0,1.0,0.03,Wilmington,Delaware,19805.0,1075.0,156900.0
for_sale,3.0,2.0,0.12,New Castle,Delaware,19720.0,1025.0,190000.0
for_sale,3.0,1.0,0.03,Wilmington,Delaware,19805.0,1175.0,80000.0
for_sale,3.0,2.0,0.2,Wilmington,Delaware,19808.0,1500.0,169000.0
for_sale,4.0,1.0,0.02,Wilmington,Delaware,19805.0,2070.0,154000.0
for_sale,3.0,3.0,0.08,Wilmington,Delaware,19805.0,2178.735693653475,350000.0
for_sale,1.0,1.0,0.08,New Castle,Delaware,19720.0,650.0,147500.0
for_sale,2.0,2.0,0.02,Wilmington,Delaware,19801.0,1075.0,62000.0
for_sale,2.0,1.0,0.02,Wilmington,Delaware,19805.0,1250.0,99900.0
for_sale,2.0,1.0,0.01,Wilmington,Delaware,19805.0,650.0,72900.0
for_sale,4.0,4.0,0.06,New Castle,Delaware,19720.0,4049.0,649000.0
for_sale,3.0,2.0,0.13,New Castle,Delaware,19720.0,1795.0,441990.0
for_sale,3.0,3.0,0.1,New Castle,Delaware,19720.0,1200.0,269900.0
for_sale,3.0,1.0,0.03,Wilmington,Delaware,19805.0,1325.0,98900.0
for_sale,3.0,1.0,0.02,Wilmington,Delaware,19805.0,1075.0,85000.0
for_sale,3.0,2.0,0.14,New Castle,Delaware,19720.0,2390.0,449990.0
for_sale,3.0,1.0,0.03,Wilmington,Delaware,19801.0,1125.0,149900.0
for_sale,3.0,2.0,0.17,New Castle,Delaware,19720.0,1550.0,265000.0
for_sale,3.0,3.0,0.15,New Castle,Delaware,19720.0,2180.0,459990.0
for_sale,3.0,3.0,0.17,Wilmington,Delaware,19804.0,1643.0,349900.0
for_sale,2.0,2.0,0.1,New Castle,Delaware,19720.0,1878.0,399990.0
for_sale,3.0,2.0,0.14,New Castle,Delaware,19720.0,1420.0,419990.0
for_sale,3.0,2.0,0.14,New Castle,Delaware,19720.0,1695.0,429990.0
for_sale,3.0,2.0,0.13,New Castle,Delaware,19720.0,1250.0,409990.0
for_sale,2.0,3.0,0.05,New Castle,Delaware,19720.0,1325.0,235000.0
for_sale,2.0,2.0,0.09,Wilmington,Delaware,19802.0,1275.0,80000.0
for_sale,2.0,2.0,32.156833929788604,Wilmington,Delaware,19809.0,1000.0,70000.0
for_sale,3.0,3.0,0.04,Wilmington,Delaware,19801.0,1600.0,225000.0
for_sale,4.0,3.0,0.18,New Castle,Delaware,19720.0,1925.0,200000.0
for_sale,3.0,1.0,0.02,Wilmington,Delaware,19805.0,1225.0,110000.0
for_sale,2.0,1.0,0.1,Wilmington,Delaware,19804.0,975.0,199900.0
for_sale,3.0,1.0,0.08,Wilmington,Delaware,19804.0,1050.0,174900.0
for_sale,3.0,2.0,0.03,Wilmington,Delaware,19802.0,1050.0,164900.0
for_sale,3.0,2.0,0.06,Wilmington,Delaware,19802.0,1425.0,220000.0
for_sale,3.0,2.4875072723686458,0.03,Wilmington,Delaware,19801.0,2178.735693653475,19995.0
for_sale,3.0,2.4875072723686458,0.05,Wilmington,Delaware,19802.0,1150.0,100000.0
for_sale,3.0,2.0,32.156833929788604,Wilmington,Delaware,19802.0,2178.735693653475,189900.0
for_sale,3.0,2.0,0.17,Wilmington,Delaware,19805.0,1650.0,250000.0
for_sale,3.0,2.0,0.14,Wilmington,Delaware,19804.0,1752.0,325000.0
for_sale,2.0,3.0,0.04,Delaware City,Delaware,19706.0,1350.0,240000.0
for_sale,3.0,2.0,0.03,Wilmington,Delaware,19802.0,1200.0,75000.0
for_sale,2.0,1.0,0.08,Wilmington,Delaware,19804.0,875.0,150000.0
for_sale,3.0,1.0,0.14,Wilmington,Delaware,19809.0,1224.0,265000.0
for_sale,3.0,2.0,0.14,New Castle,Delaware,19720.0,1050.0,190000.0
for_sale,1.0,1.0,32.156833929788604,Wilmington,Delaware,19802.0,1075.0,149000.0
for_sale,3.0,1.0,0.16,New Castle,Delaware,19720.0,1350.0,245000.0
for_sale,2.0,1.0,0.02,Wilmington,Delaware,19805.0,1025.0,119900.0
for_sale,3.0,3.0,0.17,Wilmington,Delaware,19804.0,1643.0,359900.0
for_sale,2.0,2.0,32.156833929788604,Wilmington,Delaware,19809.0,2178.735693653475,60000.0
for_sale,3.0,1.0,0.15,Wilmington,Delaware,19804.0,1225.0,130000.0
for_sale,2.0,2.0,32.156833929788604,Wilmington,Delaware,19801.0,2178.735693653475,104900.0
for_sale,2.0,2.0,0.09,New Castle,Delaware,19720.0,4165.0,200000.0
for_sale,2.0,2.0,32.156833929788604,Wilmington,Delaware,19802.0,2178.735693653475,169900.0
for_sale,3.0,1.0,0.04,Wilmington,Delaware,19802.0,1375.0,49900.0
for_sale,2.0,2.0,32.156833929788604,Wilmington,Delaware,19802.0,2178.735693653475,160000.0
for_sale,5.0,3.0,0.04,Wilmington,Delaware,19805.0,2000.0,229900.0
for_sale,3.0,3.0,0.1,New Castle,Delaware,19720.0,1425.0,180000.0
for_sale,3.0,2.0,0.18,New Castle,Delaware,19720.0,1375.0,120000.0
for_sale,3.0,1.0,0.23,New Castle,Delaware,19720.0,950.0,144999.0
for_sale,3.0,2.0,0.04,Wilmington,Delaware,19801.0,1150.0,146000.0
for_sale,2.0,2.0,0.42,New Castle,Delaware,19720.0,1300.0,155000.0
for_sale,3.0,1.0,0.02,Wilmington,Delaware,19802.0,1150.0,65000.0
for_sale,3.0,2.4875072723686458,0.12,New Castle,Delaware,19720.0,2525.0,450000.0
for_sale,4.0,3.0,0.21,Bear,Delaware,19701.0,1958.0,400000.0
for_sale,4.0,3.0,0.35,New Castle,Delaware,19720.0,1950.0,400000.0
for_sale,3.0,3.0,0.12,Wilmington,Delaware,19804.0,1000.0,230000.0
for_sale,3.0,2.0,0.09,Wilmington,Delaware,19802.0,1250.0,159000.0
for_sale,3.0,2.4875072723686458,0.03,Wilmington,Delaware,19802.0,1700.0,40000.0
for_sale,3.0,1.0,0.03,Wilmington,Delaware,19805.0,1250.0,154900.0
for_sale,2.0,2.0,0.03,Wilmington,Delaware,19801.0,1675.0,169900.0
for_sale,3.0,2.0,0.02,Wilmington,Delaware,19805.0,1275.0,87240.0
for_sale,3.0,1.0,0.14,Wilmington,Delaware,19804.0,1300.0,144000.0
for_sale,3.0,2.0,0.06,New Castle,Delaware,19720.0,1075.0,249900.0
for_sale,3.0,1.0,0.1,Wilmington,Delaware,19804.0,1025.0,250000.0
for_sale,3.0,1.0,0.04,Wilmington,Delaware,19805.0,2175.0,95000.0
for_sale,3.0,1.0,0.04,Wilmington,Delaware,19805.0,1000.0,225000.0
